user_id,file_id,rating,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,n_sentences,n_tokens,pred_rating
0,0,4.0,5.1,10.0,2.427,2.816,2.9,20,634,2.98
1,0,5.0,3.742,8.0,1.689,2.64,3.926,163,2015,4.64
2,0,4.0,4.92,9.0,2.115,2.825,4.08,50,978,4.01
3,0,5.0,4.015,13.0,2.001,2.527,4.01,203,3078,4.06
4,0,5.0,4.533,10.0,2.141,2.648,4.4,60,960,4.25
5,0,4.0,5.103,10.0,1.918,2.652,4.276,58,994,3.73
6,0,4.0,4.833,8.0,1.614,2.677,4.267,60,882,3.64
7,0,4.0,3.974,11.0,2.242,2.383,4.053,76,952,3.7
8,0,2.0,4.767,10.0,2.144,2.55,4.116,43,689,2.68
9,0,3.0,4.485,10.0,1.909,2.545,3.848,66,944,3.63
10,0,3.0,3.538,5.0,1.151,2.615,4.115,52,596,3.33
11,0,4.0,5.316,10.0,1.779,2.837,4.526,38,734,3.83
12,0,5.0,4.65,11.0,1.459,2.834,4.45,80,1340,4.65
13,0,3.0,4.621,8.0,1.655,3.1,3.989,95,1780,3.61
14,0,5.0,4.656,8.0,1.761,2.54,4.188,64,986,3.9
15,0,2.0,4.536,8.0,1.636,2.721,4.75,56,1010,3.23
16,0,4.0,4.655,10.0,1.835,2.964,4.169,142,2387,4.2
17,0,4.0,5.115,9.0,2.267,2.692,4.308,104,2138,4.0
18,0,4.0,4.704,8.0,1.882,2.664,3.889,81,1304,3.94
19,0,5.0,4.854,12.0,2.251,2.806,4.39,123,2828,4.72
20,0,4.0,4.312,8.0,1.356,2.589,4.062,64,830,3.62
21,0,4.0,4.0,8.0,1.455,2.441,3.676,68,978,3.82
22,0,3.0,3.909,6.0,0.965,2.575,4.061,66,888,3.93
23,0,2.0,3.0,4.0,1.0,2.716,3.0,4,40,2.7
24,0,4.0,3.714,6.0,1.525,2.385,4.633,98,1158,3.78
25,0,2.0,5.25,7.0,1.09,2.762,3.25,8,136,3.18
26,0,5.0,3.371,6.0,1.619,2.426,4.0,62,806,4.6
27,0,2.0,4.263,8.0,1.67,2.596,3.982,57,776,2.83
28,0,3.0,4.826,7.0,1.522,2.72,4.391,46,752,3.32
29,0,4.0,4.174,8.0,1.693,2.662,4.148,155,2128,4.19
30,0,4.0,3.571,6.0,1.226,2.359,3.6,70,704,3.5
31,0,5.0,5.0,5.0,0.0,2.881,3.0,2,34,3.78
32,0,4.0,4.729,11.0,1.735,3.115,4.281,96,1925,3.96
33,0,5.0,4.653,10.0,1.929,2.721,4.235,170,2757,3.95
34,0,4.0,4.635,8.0,1.699,2.62,4.692,52,946,3.46
35,0,4.0,4.242,8.0,1.67,2.844,4.333,66,1048,4.01
36,0,4.0,6.0,6.0,0.0,2.679,3.0,2,32,3.93
37,0,5.0,4.026,8.0,1.441,2.543,4.41,78,1090,4.46
38,0,2.0,6.0,6.0,0.0,1.643,4.0,1,14,2.89
39,0,4.0,5.0,8.0,1.936,2.877,5.458,48,984,3.45
40,0,2.0,4.519,7.0,1.469,2.565,4.38,108,1739,2.49
