user_id,file_id,rating,n_sentences,n_words,n_chars,syllables,polysyllables,words_per_sentence,syllables_per_word,chars_per_word,polysyllable_rate,flesch_reading_ease,fk_grade_level,gunning_fog,smog_index,ari,coleman_liau,pred_rating
0,0,4,27,520,3036,1004,120,19.2593,1.9308,5.8385,0.2308,23.9438,14.7042,16.9345,15.1726,15.6988,16.9932,3.73
1,0,1,4,70,284,92,6,17.5,1.3143,4.0571,0.0857,77.8839,6.7436,10.4286,10.1258,6.4291,6.3646,1.07
2,0,1,9,134,686,218,22,14.8889,1.6269,5.1194,0.1642,54.0899,9.4137,12.5227,12.0608,10.1268,12.314,1.74
3,0,5,57,1355,8174,2802,460,23.7719,2.0679,6.0325,0.3395,7.7624,18.0822,23.0881,19.3579,18.8689,18.4258,4.8
4,0,1,4,72,300,100,8,18.0,1.3889,4.1667,0.1111,71.065,7.8189,11.6444,11.2081,7.195,7.0556,1.0
5,0,3,11,132,712,240,34,12.0,1.8182,5.3939,0.2576,40.8368,10.5445,15.103,13.1727,9.9755,13.4497,2.3
6,0,4,9,162,844,280,32,18.0,1.7284,5.2099,0.1975,42.3428,11.8251,15.1012,13.9012,12.1085,13.1896,3.52
7,0,4,36,810,4476,1534,214,22.5,1.8938,5.5259,0.2642,23.7797,15.5322,19.5679,17.0575,15.8471,15.3769,4.22
8,0,2,20,299,1509,505,56,14.95,1.689,5.0468,0.1873,48.7745,10.1703,13.4716,12.6884,9.8155,11.8954,2.51
9,0,5,11,218,1218,400,50,19.8182,1.8349,5.5872,0.2294,31.4902,13.7905,17.1016,15.3087,14.7946,15.5589,3.16
10,0,2,2,56,228,72,4,28.0,1.2857,4.0714,0.0714,69.6436,10.5014,14.0571,11.2081,11.7464,7.0829,1.48
11,0,4,11,180,1086,368,58,16.3636,2.0444,6.0333,0.3222,17.2659,14.9163,19.4343,16.2469,15.1688,17.8671,3.7
12,0,1,26,371,1973,646,79,14.2692,1.7412,5.3181,0.2129,45.0428,10.5216,14.2252,13.0871,10.7527,13.3958,1.79
13,0,2,12,254,1159,415,50,21.1667,1.6339,4.563,0.1969,47.1264,11.9445,16.3407,14.7902,10.645,9.632,2.25
14,0,4,5,124,792,268,38,24.8,2.1613,6.3871,0.3065,-1.1822,19.5852,22.1781,18.8781,21.0532,20.5626,3.39
15,0,1,10,126,576,196,20,12.6,1.5556,4.5714,0.1587,62.446,7.6796,11.3892,11.2081,6.4014,8.7308,1.67
16,0,1,10,176,982,330,44,17.6,1.875,5.5795,0.25,30.346,13.399,17.04,15.1123,13.6497,15.3259,1.98
17,0,1,4,64,276,92,8,16.0,1.4375,4.3125,0.125,68.9825,7.6125,11.4,11.2081,6.8819,7.7075,1.0
18,0,4,14,289,1607,528,71,20.6429,1.827,5.5606,0.2457,31.3192,14.0192,18.0841,15.9941,15.0816,15.4621,2.93
19,0,5,23,377,2123,678,68,16.3913,1.7984,5.6313,0.1804,38.0525,12.0238,13.7714,12.9519,13.2891,15.5062,4.14
20,0,1,4,70,338,112,12,17.5,1.6,4.8286,0.1714,53.7125,10.115,13.8571,13.0239,10.0626,10.9006,1.15
21,0,1,4,56,254,88,8,14.0,1.5714,4.5357,0.1429,59.6821,8.4129,11.3143,11.2081,6.9332,8.7557,1.22
22,0,4,9,114,606,192,20,12.6667,1.6842,5.3158,0.1754,51.4941,9.2237,12.0842,11.6452,9.9407,13.12,2.15
23,0,4,9,196,1092,364,48,21.7778,1.8571,5.5714,0.2449,27.6163,14.8176,18.507,16.3221,15.7003,15.6008,3.99
24,0,1,8,100,436,156,18,12.5,1.56,4.36,0.18,62.1715,7.693,12.2,11.6982,5.3556,7.4688,1.37
25,0,5,33,468,2531,826,97,14.1818,1.765,5.4081,0.2073,43.1251,10.7674,13.9633,12.9234,11.1332,13.9126,2.55
26,0,4,9,162,872,294,40,18.0,1.8148,5.3827,0.2469,35.0317,12.8448,17.0765,15.1726,12.9226,14.2059,3.42
27,0,1,9,159,654,224,17,17.6667,1.4088,4.1132,0.1069,69.7184,7.9239,11.3434,10.9805,6.7765,6.7102,1.01
28,0,4,7,130,600,190,14,18.5714,1.4615,4.6154,0.1077,64.3388,8.899,11.7363,11.2081,9.5942,9.7446,2.75
29,0,1,4,68,334,118,14,17.0,1.7353,4.9118,0.2059,42.7741,11.5165,15.0353,13.8167,10.2044,11.34,1.22
30,0,1,6,96,482,158,14,16.0,1.6458,5.0208,0.1458,51.3575,10.0708,12.2333,11.8555,10.2181,11.8725,2.31
31,0,3,2,38,168,62,6,19.0,1.6316,4.4211,0.1579,49.5184,11.0726,13.9158,13.0239,8.8932,8.6379,1.25
32,0,1,4,78,326,110,10,19.5,1.4103,4.1795,0.1282,67.7348,8.656,12.9282,12.1617,8.0054,7.2574,1.01
33,0,4,43,536,2827,957,99,12.4651,1.7854,5.2743,0.1847,43.134,10.3397,12.3741,11.7973,9.6443,12.838,2.56
34,0,4,22,322,1668,536,60,14.6364,1.6646,5.1801,0.1863,51.1542,9.7604,13.308,12.5634,10.2866,12.6368,3.36
35,0,1,4,76,348,116,10,19.0,1.5263,4.5789,0.1316,58.4237,9.8305,12.8632,12.1617,9.6368,9.5663,1.04
36,0,2,6,78,376,124,12,13.0,1.5897,4.8205,0.1538,59.1477,8.239,11.3538,11.2081,7.7746,10.2677,2.21
37,0,1,2,46,198,68,8,23.0,1.4783,4.3043,0.1739,58.4291,10.8235,16.1565,14.5546,10.3435,8.2226,1.04
38,0,1,2,22,88,32,4,11.0,1.4545,4.0,0.1818,72.6155,5.8636,11.6727,11.2081,2.91,5.0291,1.33
39,0,2,13,182,1030,328,34,14.0,1.8022,5.6593,0.1868,40.1591,11.1359,13.0725,12.3678,12.2255,15.3626,2.67
40,0,3,7,170,900,310,30,24.2857,1.8235,5.2941,0.1765,27.9144,15.3991,16.7731,14.9556,15.6482,14.1106,3.1
41,0,2,1,38,156,52,4,38.0,1.3684,4.1053,0.1053,52.4966,15.3774,19.4105,14.5546,16.9058,7.56,2.84
42,0,1,11,154,768,258,28,14.0,1.6753,4.987,0.1818,50.8925,9.6388,12.8727,12.2435,9.0588,11.4094,2.66
43,0,2,48,602,3528,1148,136,12.5417,1.907,5.8605,0.2259,32.775,11.8036,14.0532,12.7451,12.4436,16.2994,2.52
44,0,5,10,221,1273,431,58,22.1,1.9502,5.7602,0.2624,19.4144,16.0417,19.3377,16.8872,16.7505,16.7305,4.03
45,0,3,12,234,1254,382,44,19.5,1.6325,5.359,0.188,48.9348,11.2782,15.3214,14.0682,13.5608,14.1928,3.19
46,0,2,6,106,538,164,14,17.6667,1.5472,5.0755,0.1321,58.0128,9.5566,12.3497,11.8555,11.3088,12.3683,2.23
47,0,1,7,143,594,195,15,20.4286,1.3636,4.1538,0.1049,70.7364,8.4681,12.3672,11.4917,8.3489,7.1757,1.29
48,0,1,10,86,370,128,12,8.6,1.4884,4.3023,0.1395,72.1897,5.3268,9.0214,9.3871,3.134,6.0558,1.33
49,0,1,29,412,2202,758,100,14.2069,1.8398,5.3447,0.2427,36.7674,11.6604,15.3915,13.7374,10.8468,13.5431,1.78
50,0,1,4,64,244,84,6,16.0,1.3125,3.8125,0.0938,79.5575,6.1375,10.15,10.1258,4.5269,4.7675,1.14
51,0,1,1,2,14,4,0,2.0,2.0,7.0,0.0,35.605,8.79,0.8,0.0,12.54,10.56,2.34
52,0,3,13,132,672,218,22,10.1538,1.6515,5.0909,0.1667,56.8107,7.8579,10.7282,10.5607,7.6251,11.2194,2.55
53,0,1,4,66,290,104,12,16.5,1.5758,4.3939,0.1818,56.7784,9.4389,13.8727,13.0239,7.5155,8.2424,1.9
54,0,1,6,90,416,144,16,15.0,1.6,4.6222,0.1778,56.25,9.14,13.1111,12.458,7.8407,9.4053,1.3
