user_id,file_id,rating,cosine_sim,q_norm,r_norm,norm_gap,pred_rating
0,0,4,0.0197,1.0,1.0,0.0,4.05
1,0,1,0.4509,1.0,1.0,0.0,1.87
2,0,1,0.1635,1.0,1.0,0.0,2.05
3,0,5,0.6331,1.0,1.0,0.0,4.06
4,0,1,0.423,1.0,1.0,0.0,1.28
5,0,3,0.1878,1.0,1.0,0.0,2.31
6,0,4,0.1306,1.0,1.0,0.0,3.52
7,0,4,0.6019,1.0,1.0,0.0,3.55
8,0,2,0.6198,1.0,1.0,0.0,2.78
9,0,5,0.2148,1.0,1.0,0.0,2.68
10,0,2,0.4201,1.0,1.0,0.0,1.57
11,0,4,0.1309,1.0,1.0,0.0,3.5
12,0,1,0.685,1.0,1.0,0.0,2.09
13,0,2,0.3737,1.0,1.0,0.0,1.87
14,0,4,0.2752,1.0,1.0,0.0,3.3
15,0,1,0.9343,1.0,1.0,0.0,3.14
16,0,1,0.7423,1.0,1.0,0.0,1.44
17,0,1,0.3869,1.0,1.0,0.0,2.46
18,0,4,0.5732,1.0,1.0,0.0,2.2
19,0,5,0.2259,1.0,1.0,0.0,3.83
20,0,1,0.2774,1.0,1.0,0.0,2.26
21,0,1,0.4533,1.0,1.0,0.0,2.12
22,0,4,0.2963,1.0,1.0,0.0,2.7
23,0,4,0.1576,1.0,1.0,0.0,3.91
24,0,1,1.0,1.0,1.0,0.0,2.11
25,0,5,0.3497,1.0,1.0,0.0,1.68
26,0,4,0.1529,1.0,1.0,0.0,3.84
27,0,1,0.5667,1.0,1.0,0.0,1.19
28,0,4,0.9119,1.0,1.0,0.0,4.16
29,0,1,0.3951,1.0,1.0,0.0,1.98
30,0,1,1.0,1.0,1.0,0.0,2.11
31,0,3,0.2796,1.0,1.0,0.0,1.37
32,0,1,0.326,1.0,1.0,0.0,1.58
33,0,4,0.4783,1.0,1.0,0.0,1.03
34,0,4,0.7178,1.0,1.0,0.0,3.81
35,0,1,0.2697,1.0,1.0,0.0,1.55
36,0,2,0.3396,1.0,1.0,0.0,2.0
37,0,1,0.4842,1.0,1.0,0.0,1.0
38,0,1,0.105,1.0,1.0,0.0,2.28
39,0,2,0.2544,1.0,1.0,0.0,3.62
40,0,3,0.1561,1.0,1.0,0.0,3.64
41,0,2,0.2328,1.0,1.0,0.0,2.3
42,0,1,0.1623,1.0,1.0,0.0,3.32
43,0,2,0.0201,1.0,1.0,0.0,3.02
44,0,5,0.6033,1.0,1.0,0.0,3.43
45,0,3,0.1991,1.0,1.0,0.0,2.13
46,0,2,0.2793,1.0,1.0,0.0,1.37
47,0,1,0.4753,1.0,1.0,0.0,1.03
48,0,1,0.7273,1.0,1.0,0.0,1.1
49,0,1,0.1263,1.0,1.0,0.0,2.2
50,0,1,0.4022,1.0,1.0,0.0,1.29
51,0,1,0.1873,1.0,1.0,0.0,2.02
52,0,3,0.2767,1.0,1.0,0.0,3.37
