user_id,file_id,rating,pred
0,0,4.0,3.97
1,0,4.0,3.99
2,0,4.0,4.2
3,0,5.0,4.87
4,0,5.0,4.74
5,0,4.0,3.81
6,0,4.0,4.2
7,0,5.0,4.51
8,0,3.0,3.36
9,0,4.0,3.95
10,0,3.0,3.5
11,0,3.0,3.18
12,0,5.0,4.57
13,0,1.0,2.41
14,0,5.0,4.67
15,0,5.0,3.89
16,0,4.0,4.1
17,0,4.0,4.12
18,0,4.0,3.82
19,0,5.0,4.64
20,0,5.0,4.7
21,0,4.0,4.01
22,0,5.0,4.22
23,0,4.0,4.01
24,0,4.0,3.77
25,0,5.0,4.14
26,0,5.0,4.63
27,0,3.0,3.56
28,0,3.0,3.46
29,0,4.0,4.06
30,0,4.0,4.52
31,0,5.0,3.84
32,0,5.0,4.81
33,0,4.0,4.28
34,0,5.0,4.68
35,0,4.0,3.92
36,0,5.0,4.58
37,0,5.0,4.72
38,0,4.0,4.03
39,0,2.0,4.34
40,0,4.0,3.93
41,0,5.0,4.56
42,0,5.0,4.25
43,0,5.0,4.46
44,0,2.0,2.87
45,0,2.0,3.79
46,0,5.0,3.78
47,0,4.0,3.98
48,0,4.0,3.94
49,0,5.0,4.55
50,0,4.0,3.99
51,0,4.0,3.93
52,0,4.0,3.91
53,0,5.0,4.82
54,0,5.0,4.59
55,0,5.0,4.3
56,0,5.0,4.42
57,0,5.0,4.18
58,0,2.0,2.22
59,0,4.0,4.0
60,0,4.0,4.05
61,0,5.0,4.73
62,0,4.0,3.97
63,0,5.0,3.8
64,0,5.0,4.86
65,0,4.0,4.01
66,0,4.0,3.94
67,0,4.0,3.97
68,0,4.0,4.13
69,0,4.0,4.12
70,0,5.0,4.45
71,0,5.0,4.6
72,0,5.0,4.01
73,0,4.0,4.41
74,0,5.0,4.66
75,0,4.0,3.82
0,1,4.0,3.83
1,1,4.0,3.98
2,1,2.0,4.03
3,1,5.0,4.9
4,1,2.0,2.84
5,1,4.0,3.86
6,1,4.0,3.81
7,1,4.0,3.81
8,1,3.0,3.47
9,1,3.0,3.47
10,1,4.0,3.85
11,1,4.0,4.02
12,1,5.0,4.53
13,1,5.0,4.61
14,1,5.0,4.01
15,1,4.0,4.09
16,1,4.0,4.1
17,1,4.0,3.82
18,1,3.0,3.79
19,1,5.0,4.68
20,1,5.0,4.75
21,1,4.0,3.92
22,1,4.0,4.04
23,1,4.0,3.99
24,1,4.0,4.14
25,1,3.0,4.01
26,1,4.0,3.89
27,1,3.0,3.29
28,1,3.0,3.6
29,1,4.0,3.88
30,1,3.0,3.37
31,1,4.0,4.18
32,1,5.0,4.42
33,1,5.0,4.88
34,1,2.0,3.35
35,1,1.0,2.31
36,1,4.0,3.97
37,1,5.0,4.78
38,1,5.0,4.81
39,1,4.0,4.03
40,1,4.0,3.91
41,1,5.0,4.67
42,1,5.0,4.22
43,1,5.0,4.73
44,1,4.0,4.08
45,1,2.0,2.89
46,1,5.0,4.58
47,1,5.0,4.66
48,1,4.0,3.99
49,1,4.0,3.96
50,1,5.0,3.58
51,1,4.0,3.99
52,1,4.0,3.99
53,1,5.0,4.97
54,1,5.0,4.76
55,1,4.0,4.08
56,1,4.0,3.9
57,1,4.0,4.09
58,1,2.0,2.07
59,1,3.0,3.25
60,1,4.0,4.2
61,1,5.0,4.68
62,1,4.0,4.01
63,1,5.0,4.62
64,1,5.0,4.82
65,1,4.0,4.13
66,1,4.0,3.84
67,1,4.0,4.05
68,1,4.0,4.1
69,1,4.0,3.92
70,1,5.0,4.67
71,1,5.0,4.55
72,1,5.0,3.87
73,1,4.0,3.96
74,1,3.0,3.19
75,1,5.0,4.71
0,2,5.0,4.57
1,2,5.0,4.6
2,2,4.0,4.01
3,2,5.0,4.9
4,2,5.0,4.6
5,2,4.0,3.85
6,2,4.0,4.21
7,2,4.0,4.13
8,2,3.0,3.47
9,2,4.0,4.06
10,2,3.0,3.41
11,2,4.0,4.15
12,2,5.0,4.49
13,2,2.0,3.01
14,2,5.0,4.44
15,2,4.0,3.97
16,2,2.0,4.24
17,2,2.0,2.72
18,2,4.0,4.12
19,2,5.0,4.79
20,2,5.0,4.68
21,2,4.0,3.92
22,2,4.0,4.06
23,2,4.0,3.99
24,2,4.0,3.88
25,2,4.0,4.14
26,2,4.0,4.06
27,2,4.0,4.01
28,2,3.0,3.33
29,2,4.0,3.89
30,2,4.0,3.88
31,2,4.0,4.2
32,2,4.0,3.77
33,2,5.0,4.88
34,2,5.0,4.59
35,2,2.0,2.63
36,2,4.0,4.15
37,2,5.0,4.75
38,2,4.0,4.03
39,2,2.0,2.72
40,2,2.0,2.98
41,2,5.0,4.5
42,2,4.0,4.0
43,2,5.0,4.51
44,2,4.0,4.03
45,2,2.0,2.99
46,2,5.0,4.63
47,2,5.0,4.69
48,2,4.0,3.99
49,2,5.0,4.67
50,2,5.0,4.55
51,2,5.0,4.71
52,2,4.0,4.01
53,2,5.0,4.99
54,2,4.0,4.13
55,2,5.0,4.73
56,2,4.0,4.06
57,2,5.0,4.68
58,2,2.0,2.07
59,2,4.0,3.79
60,2,4.0,3.94
61,2,5.0,4.73
62,2,4.0,3.95
63,2,5.0,4.56
64,2,5.0,4.68
65,2,3.0,3.38
66,2,4.0,3.85
67,2,4.0,4.18
68,2,4.0,4.09
69,2,4.0,3.8
70,2,3.0,3.24
71,2,5.0,4.65
72,2,5.0,4.63
73,2,3.0,3.45
74,2,4.0,3.85
75,2,4.0,3.55
0,3,5.0,4.4
1,3,4.0,3.77
2,3,4.0,4.12
3,3,5.0,4.73
4,3,5.0,3.79
5,3,2.0,2.62
6,3,4.0,4.09
7,3,4.0,3.87
8,3,2.0,2.69
9,3,3.0,3.57
10,3,2.0,4.17
11,3,4.0,4.15
12,3,5.0,4.54
13,3,4.0,3.79
14,3,5.0,4.19
15,3,4.0,3.98
16,3,5.0,4.5
17,3,4.0,3.82
18,3,3.0,3.34
19,3,5.0,4.49
20,3,5.0,4.72
21,3,4.0,3.92
22,3,4.0,4.12
23,3,4.0,3.99
24,3,4.0,3.96
25,3,4.0,4.12
26,3,5.0,4.61
27,3,4.0,4.01
28,3,3.0,3.28
29,3,4.0,3.8
30,3,4.0,3.72
31,3,4.0,3.97
32,3,4.0,3.97
33,3,5.0,4.31
34,3,4.0,3.82
35,3,1.0,2.35
36,3,4.0,3.93
37,3,5.0,4.23
38,3,4.0,3.75
39,3,2.0,2.83
40,3,2.0,2.89
41,3,4.0,3.95
42,3,5.0,4.57
43,3,5.0,4.63
44,3,4.0,3.75
45,3,4.0,4.03
46,3,5.0,4.84
47,3,4.0,4.15
48,3,4.0,3.89
49,3,5.0,4.7
50,3,4.0,3.83
51,3,5.0,4.59
52,3,3.0,4.46
53,3,5.0,4.99
54,3,4.0,4.08
55,3,5.0,4.72
56,3,4.0,4.04
57,3,4.0,4.05
58,3,2.0,2.07
59,3,5.0,4.41
60,3,4.0,4.19
61,3,5.0,4.76
62,3,4.0,3.87
63,3,5.0,4.78
64,3,5.0,3.91
65,3,3.0,3.4
66,3,4.0,3.91
67,3,4.0,3.93
68,3,4.0,4.19
69,3,4.0,4.14
70,3,2.0,2.88
71,3,5.0,4.59
72,3,4.0,3.93
73,3,4.0,3.98
74,3,3.0,3.23
75,3,5.0,4.61
0,4,5.0,4.6
1,4,4.0,4.07
2,4,4.0,4.08
3,4,5.0,4.4
4,4,5.0,4.63
5,4,4.0,3.97
6,4,4.0,3.99
7,4,4.0,3.83
8,4,4.0,3.91
9,4,4.0,4.18
10,4,2.0,2.71
11,4,4.0,4.06
12,4,5.0,4.34
13,4,4.0,4.23
14,4,5.0,3.98
15,4,4.0,3.93
16,4,4.0,4.02
17,4,5.0,3.6
18,4,3.0,3.34
19,4,5.0,4.8
20,4,5.0,4.67
21,4,4.0,3.92
22,4,3.0,3.42
23,4,3.0,3.34
24,4,4.0,4.07
25,4,4.0,4.2
26,4,4.0,4.17
27,4,4.0,4.02
28,4,3.0,3.44
29,4,5.0,4.62
30,4,4.0,4.08
31,4,5.0,4.71
32,4,5.0,4.69
33,4,4.0,4.17
34,4,5.0,4.68
35,4,1.0,2.28
36,4,4.0,3.96
37,4,5.0,4.63
38,4,4.0,4.21
39,4,2.0,2.72
40,4,4.0,4.01
41,4,5.0,4.6
42,4,4.0,4.13
43,4,5.0,4.41
44,4,4.0,3.94
45,4,4.0,3.97
46,4,5.0,4.37
47,4,5.0,4.76
48,4,4.0,3.99
49,4,5.0,4.55
50,4,4.0,3.95
51,4,4.0,3.91
52,4,2.0,2.83
53,4,5.0,4.99
54,4,4.0,4.27
55,4,5.0,4.68
56,4,4.0,3.93
57,4,4.0,3.97
58,4,2.0,2.07
59,4,4.0,4.32
60,4,3.0,3.5
61,4,5.0,4.69
62,4,4.0,4.06
63,4,5.0,4.27
64,4,5.0,4.21
65,4,4.0,3.98
66,4,4.0,3.94
67,4,4.0,4.09
68,4,3.0,3.29
69,4,4.0,3.98
70,4,4.0,4.22
71,4,5.0,4.71
72,4,4.0,4.43
73,4,3.0,3.43
74,4,4.0,3.86
75,4,5.0,4.71
