user_id,file_id,rating,tokens,types,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,pred_rating
0,0,4,530,159,0.3,6.9065,4.8836,0.8081,0.0306,103.1684,89.2406,0.0,0.6981,5.2264,3.74
1,0,4,740,214,0.2892,7.8668,5.5627,0.8122,0.0284,101.8992,117.7677,0.0,0.6963,5.7432,3.69
2,0,4,342,114,0.3333,6.1644,4.3589,0.8117,0.0323,148.9347,94.5472,0.0,0.7632,5.6257,3.7
3,0,5,866,295,0.3406,10.0245,7.0884,0.8408,0.0235,102.2993,103.8653,0.3424,0.4034,5.709,4.59
4,0,1,522,164,0.3142,7.1781,5.0757,0.815,0.0296,97.547,130.5,0.0,0.7622,4.931,2.54
5,0,4,434,131,0.3018,6.2882,4.4464,0.8028,0.0325,137.7179,113.1396,0.0,0.6947,5.4424,3.44
6,0,4,884,162,0.1833,5.4486,3.8528,0.7499,0.0369,116.1422,93.8332,0.0,0.2901,5.4615,3.25
7,0,1,276,91,0.3297,5.4776,3.8732,0.8026,0.0351,153.8542,95.1969,0.0,0.7363,5.4348,2.09
8,0,1,398,144,0.3618,7.2181,5.1039,0.8302,0.0284,111.4871,179.6409,0.0,0.8264,5.3166,2.29
9,0,4,444,151,0.3401,7.1661,5.0672,0.8231,0.029,91.9162,133.227,0.0,0.7682,5.455,3.4
10,0,4,690,202,0.2928,7.69,5.4377,0.8121,0.0287,94.812,130.6596,0.0,0.7178,5.4,3.84
11,0,4,336,121,0.3601,6.6011,4.6677,0.8244,0.0302,106.2925,152.3517,0.0,0.7851,5.7143,3.67
12,0,5,896,252,0.2812,8.4187,5.9529,0.8134,0.0274,102.2401,120.4964,0.0,0.7183,5.1116,4.61
13,0,4,552,177,0.3207,7.5336,5.3271,0.8198,0.0285,96.6184,140.8693,0.0,0.7797,5.5725,3.89
14,0,4,648,206,0.3179,8.0924,5.7222,0.823,0.0273,97.3556,105.4139,0.0,0.7573,5.4043,3.88
15,0,2,338,124,0.3669,6.7447,4.7692,0.8278,0.0296,103.6378,175.0848,0.0,0.8145,6.2574,2.8
16,0,2,827,324,0.3918,11.2666,7.9667,0.8605,0.0208,102.1743,112.6654,0.4321,0.3611,5.6578,2.97
17,0,1,76,32,0.4211,3.6707,2.5955,0.8003,0.0461,256.2327,50.1237,0.0,0.875,4.9211,1.41
18,0,4,1419,439,0.3094,11.654,8.2406,0.8384,0.0223,74.0678,155.5842,0.3599,0.2984,5.8795,4.05
19,0,4,524,212,0.4046,9.2613,6.5487,0.8555,0.0231,97.6779,151.0562,0.4104,0.3396,5.5324,3.93
20,0,5,290,97,0.3345,5.696,4.0277,0.8068,0.0341,117.2414,98.3126,0.0,0.7216,5.6345,3.97
21,0,1,356,114,0.3202,6.042,4.2723,0.8062,0.033,153.0741,97.6736,0.0,0.7719,5.3146,1.82
22,0,4,559,162,0.2898,6.8519,4.845,0.8042,0.0309,111.9428,105.761,0.2407,0.1728,5.2469,3.91
23,0,4,566,188,0.3322,7.9022,5.5877,0.8261,0.0274,136.0362,151.5008,0.0,0.8511,6.2367,3.99
24,0,4,272,102,0.375,6.1847,4.3732,0.825,0.0312,117.8633,145.8223,0.0,0.8235,6.3235,3.78
25,0,4,566,186,0.3286,7.8182,5.5283,0.8244,0.0277,67.862,150.862,0.0,0.7366,5.6396,4.28
26,0,4,280,105,0.375,6.275,4.4371,0.8259,0.0309,125.5102,150.0448,0.0,0.819,5.6857,3.75
27,0,3,112,43,0.3839,4.0631,2.8731,0.7971,0.043,204.0816,65.0985,0.0,0.7907,4.75,3.07
28,0,3,706,214,0.3031,8.054,5.695,0.818,0.0277,122.0217,123.9534,0.0,0.7336,5.3116,3.29
29,0,3,930,276,0.2968,9.0504,6.3996,0.8223,0.026,126.8355,160.3991,0.0,0.7319,5.314,3.12
30,0,5,168,66,0.3929,5.092,3.6006,0.8177,0.0356,136.0544,97.3626,0.0,0.8182,5.619,2.72
31,0,2,40,19,0.475,3.0042,2.1243,0.7982,0.0547,300.0,40.0,0.0,0.9474,5.0,2.52
32,0,4,1024,379,0.3701,11.8438,8.3748,0.8566,0.0207,87.9288,129.2676,0.3852,0.3958,5.9805,4.01
33,0,4,1308,334,0.2554,9.2351,6.5302,0.8098,0.0265,86.5644,126.4751,0.3353,0.0898,5.3066,4.06
34,0,2,500,153,0.306,6.8424,4.8383,0.8095,0.0307,100.64,131.1359,0.0,0.719,6.0,2.6
35,0,2,452,142,0.3142,6.6791,4.7228,0.8106,0.031,105.1374,103.9261,0.0,0.7465,5.4336,2.77
36,0,3,842,256,0.304,8.8223,6.2383,0.8232,0.0262,96.6199,124.9858,0.0,0.7617,5.3444,3.06
37,0,4,582,188,0.323,7.7929,5.5104,0.8225,0.0279,84.4936,157.9052,0.0,0.7447,5.4433,4.14
38,0,4,24,10,0.4167,2.0412,1.4434,0.7245,0.0867,694.4444,13.0,0.0,0.8,4.75,3.81
39,0,3,268,102,0.3806,6.2306,4.4057,0.8272,0.0309,118.6233,149.4533,0.0,0.8627,6.4478,3.77
40,0,2,882,263,0.2982,8.8557,6.2619,0.8216,0.0263,113.97,137.2436,0.0,0.7643,5.4331,2.51
41,0,4,44,19,0.4318,2.8644,2.0254,0.7781,0.0586,392.562,28.986,0.0,0.8947,3.9545,3.46
42,0,1,686,199,0.2901,7.5979,5.3725,0.8105,0.029,101.9558,123.0055,0.0,0.7337,5.449,3.35
43,0,5,502,156,0.3108,6.9626,4.9233,0.8121,0.0302,97.3794,115.2992,0.0,0.6987,5.6215,4.35
44,0,3,1062,313,0.2947,9.6047,6.7915,0.8247,0.0252,91.2006,153.6358,0.0,0.7444,5.435,3.56
45,0,3,854,238,0.2787,8.1442,5.7588,0.8107,0.028,114.4908,112.7074,0.0,0.7269,5.3396,4.02
46,0,4,914,259,0.2834,8.567,6.0578,0.815,0.0271,111.2047,99.9663,0.0,0.7375,5.5821,4.05
47,0,1,76,32,0.4211,3.6707,2.5955,0.8003,0.0461,256.2327,50.1237,0.0,0.875,4.9211,1.41
48,0,5,676,210,0.3107,8.0769,5.7112,0.8206,0.0275,98.8236,127.1129,0.0,0.7286,5.2278,4.53
49,0,4,412,133,0.3228,6.5524,4.6333,0.8122,0.0312,104.3925,99.363,0.0,0.7669,5.2136,3.68
50,0,4,652,183,0.2807,7.1668,5.0677,0.8039,0.0303,113.7604,99.7678,0.0,0.694,5.7362,3.76
51,0,1,22,11,0.5,2.3452,1.6583,0.7758,0.0725,454.5455,22.0,0.0,1.0,4.8182,2.04
52,0,4,506,163,0.3221,7.2462,5.1239,0.8181,0.0292,108.1879,129.8717,0.0,0.7607,5.415,3.8
53,0,5,536,177,0.3302,7.6452,5.406,0.8237,0.0281,85.4867,146.3493,0.0,0.774,5.7127,4.99
54,0,2,76,32,0.4211,3.6707,2.5955,0.8003,0.0461,256.2327,50.1237,0.0,0.875,4.9211,1.41
55,0,4,1074,390,0.3631,11.9004,8.4149,0.8549,0.0208,78.944,113.5675,0.4615,0.2821,5.8324,3.81
56,0,5,428,136,0.3178,6.5738,4.6484,0.8108,0.0312,146.5193,98.2698,0.0,0.7574,5.3879,3.27
57,0,4,668,202,0.3024,7.8156,5.5265,0.8161,0.0283,109.631,140.3491,0.0,0.7228,5.1766,3.74
58,0,2,576,182,0.316,7.5833,5.3622,0.8187,0.0285,117.1875,138.5946,0.0,0.7692,5.7882,3.48
59,0,4,1709,420,0.2458,10.1596,7.1839,0.8115,0.0253,109.7895,122.4987,0.0262,0.6286,5.7993,4.05
60,0,2,582,159,0.2732,6.5908,4.6604,0.7962,0.032,219.825,33.861,0.0,0.7484,5.3711,2.57
61,0,4,30,14,0.4667,2.556,1.8074,0.7759,0.0659,422.2222,26.0526,0.0,0.9286,5.9333,3.41
62,0,2,454,157,0.3458,7.3684,5.2102,0.8264,0.0284,92.2781,165.5784,0.0,0.7962,5.7048,2.8
63,0,5,2754,561,0.2037,10.6901,7.559,0.7991,0.0254,306.8805,45.7072,0.0,0.6916,4.7451,3.79
64,0,4,425,217,0.5106,10.526,7.443,0.8889,0.0184,91.9031,147.3368,0.5853,0.2765,5.5953,3.94
65,0,3,906,268,0.2958,8.9037,6.2959,0.8211,0.0263,69.0272,176.0144,0.0,0.7425,5.7461,3.33
66,0,5,696,255,0.3664,9.6658,6.8347,0.8466,0.0234,82.1195,129.7835,0.3333,0.4039,5.9353,4.63
67,0,4,486,166,0.3416,7.5299,5.3245,0.8264,0.0281,94.7518,148.7155,0.0,0.7892,5.9012,3.82
68,0,4,554,178,0.3213,7.5625,5.3475,0.8203,0.0285,96.7691,144.1325,0.0,0.7472,5.4729,3.99
69,0,4,522,169,0.3238,7.3969,5.2304,0.8198,0.0288,118.3923,152.8768,0.0,0.7574,5.5785,3.92
70,0,3,492,181,0.3679,8.1601,5.7701,0.8387,0.026,102.7001,105.8978,0.4309,0.1492,5.1118,3.38
71,0,5,310,106,0.3419,6.0204,4.2571,0.8129,0.0326,163.7877,110.3389,0.0,0.8019,5.2194,4.14
72,0,2,672,221,0.3289,8.5253,6.0283,0.8292,0.0262,81.6681,149.1598,0.0,0.7873,5.872,4.02
73,0,4,860,231,0.2686,7.877,5.5699,0.8055,0.0288,101.5143,125.6419,0.0,0.6883,5.3163,3.49
74,0,3,151,83,0.5497,6.7544,4.7761,0.8807,0.0238,228.9373,58.9796,0.6024,0.2892,5.2119,3.1
75,0,5,52,23,0.4423,3.1895,2.2553,0.7935,0.0523,310.6509,38.3158,0.0,0.913,5.1923,3.74
0,1,4,538,164,0.3048,7.0705,4.9996,0.8111,0.03,111.4551,121.7545,0.0,0.7256,5.6989,3.31
1,1,4,734,277,0.3774,10.2243,7.2296,0.8523,0.0224,97.1126,148.5718,0.361,0.4224,5.8447,3.93
2,1,4,150,59,0.3933,4.8173,3.4064,0.8138,0.0372,198.2222,86.4407,0.0,0.8644,5.2,2.95
3,1,5,870,294,0.3379,9.9675,7.0481,0.8397,0.0237,102.1007,104.4003,0.3401,0.4014,5.6897,4.84
4,1,1,222,82,0.3694,5.5035,3.8915,0.8157,0.0341,132.7003,98.9688,0.0,0.8415,5.1982,2.22
5,1,4,376,129,0.3431,6.6527,4.7041,0.8196,0.0304,111.4758,141.6535,0.0,0.7519,5.7766,3.78
6,1,4,600,182,0.3033,7.4301,5.2539,0.8135,0.0292,95.3333,133.8858,0.0,0.7033,5.6233,3.59
7,1,1,302,100,0.3311,5.7544,4.0689,0.8064,0.0339,133.1082,100.9978,0.0,0.75,5.7152,2.14
8,1,1,334,125,0.3743,6.8397,4.8364,0.8309,0.0291,99.5016,165.4289,0.0,0.84,5.6826,2.48
9,1,3,442,132,0.2986,6.2786,4.4396,0.8016,0.0326,113.5317,77.1858,0.0,0.7197,5.4434,3.11
