user_id,file_id,rating,unique_entities,avg_entities_per_sent,entity_continuity,entity_introductions,role_transitions,grid_density,pred_rating
0,0,4,81,8.133333333333333,1.0,0.0,0.2147239263803681,0.10041152263374485,3.8473333333333333
1,0,4,112,10.235294117647058,1.0,0.0,0.3008474576271186,0.09138655462184873,3.822
2,0,4,53,6.260869565217392,1.0,0.0,0.24175824175824176,0.11812961443806398,3.898
3,0,5,149,8.733333333333333,0.5973154362416108,0.40268456375838924,0.2786885245901639,0.05861297539149888,4.574
4,0,1,82,8.923076923076923,1.0,0.0,0.24666666666666667,0.10881801125703565,2.024
5,0,4,64,8.565217391304348,0.984375,0.015625,0.16541353383458646,0.13383152173913043,3.2055
6,0,4,73,9.162790697674419,1.0,0.0,0.26479750778816197,0.12551768079006054,3.916
7,0,1,31,8.583333333333334,0.967741935483871,0.03225806451612903,0.25,0.2768817204301075,1.6735
8,0,1,65,6.615384615384615,1.0,0.0,0.1588785046728972,0.10177514792899409,1.665
9,0,4,72,10.421052631578947,1.0,0.0,0.19047619047619047,0.14473684210526316,3.438909090909091
10,0,4,98,8.285714285714286,1.0,0.0,0.23958333333333334,0.08454810495626822,3.986
11,0,4,59,7.181818181818182,1.0,0.0,0.24242424242424243,0.12172573189522343,3.806
12,0,5,111,8.13953488372093,1.0,0.0,0.200836820083682,0.07332914309658496,4.664
13,0,4,76,8.518518518518519,1.0,0.0,0.2792207792207792,0.11208576998050682,3.94
14,0,4,88,7.166666666666667,1.0,0.0,0.2529411764705882,0.08143939393939394,3.9551999999999996
15,0,2,57,69.0,0.9824561403508771,0.017543859649122806,0.16049382716049382,1.2105263157894737,2.4487142135642133
16,0,2,159,9.942857142857143,0.5786163522012578,0.42138364779874216,0.2804232804232804,0.06253369272237197,2.826
17,0,1,14,7.5,1.0,0.0,0.1875,0.5357142857142857,1.4123384337884348
18,0,4,233,9.646153846153846,0.6609442060085837,0.33905579399141633,0.2563451776649746,0.04139980191482338,3.84
19,0,4,108,8.137931034482758,0.5740740740740741,0.42592592592592593,0.2265625,0.07535121328224777,4.032
20,0,5,40,7.352941176470588,0.975,0.025,0.3058823529411765,0.18382352941176472,4.104666666666666
21,0,1,45,8.117647058823529,1.0,0.0,0.20430107526881722,0.1803921568627451,2.02
22,0,4,66,7.233333333333333,0.7272727272727273,0.2727272727272727,0.1986754966887417,0.1095959595959596,3.3770333333333338
